,PLAYER_ID,PLAYER_NAME,G,CONTESTED_SHOTS,DEFLECTIONS,CHARGES_DRAWN,SCREEN_AST_PTS,LOOSE_BALLS_RECOVERED,BOX_OUTS
362,1630163,LaMelo Ball,66,246,180,0,21,73,13
363,1630205,Lamar Stevens,54,200,43,0,17,12,18
364,202362,Lance Stephenson,38,74,43,0,2,14,8
365,1629013,Landry Shamet,61,203,62,1,44,20,41
367,1626204,Larry Nance Jr.,38,163,74,8,218,14,45
368,1628374,Lauri Markkanen,52,433,79,0,79,25,58
369,2544,LeBron James,54,310,107,16,132,45,50
370,1630195,Leandro Bolmaro,31,38,13,0,9,7,5
373,1629022,Lonnie Walker IV,65,211,60,0,19,32,11
374,1628366,Lonzo Ball,35,236,112,1,54,39,13
375,101150,Lou Williams,51,107,51,0,19,17,16
377,1629652,Luguentz Dort,51,304,90,0,13,33,25
378,1629029,Luka Doncic,56,337,126,1,15,47,26
379,1630568,Luka Garza,31,119,24,5,97,10,51
380,1628379,Luke Kennard,63,185,48,2,60,26,35
384,1630201,Malachi Flynn,40,71,34,0,8,19,9
385,1627763,Malcolm Brogdon,36,184,50,0,6,29,12
387,1627736,Malik Beasley,73,210,57,2,21,28,23
389,1628370,Malik Monk,67,327,75,2,48,28,7
393,202694,Marcus Morris Sr.,48,160,38,2,68,25,45
394,203935,Marcus Smart,63,339,183,14,86,71,94
398,1630210,Markus Howard,29,20,5,3,3,0,0
399,1627737,Marquese Chriss,26,95,21,0,81,6,17
400,1628963,Marvin Bagley III,44,311,27,4,101,20,51
402,203486,Mason Plumlee,64,487,130,2,411,40,124
403,1629680,Matisse Thybulle,57,265,215,1,50,33,9
405,1629744,Matt Thomas,40,64,12,0,24,9,10
406,203090,Maurice Harkless,47,173,80,0,26,10,11
407,1629622,Max Strus,60,268,52,13,40,28,43
408,1628467,Maxi Kleber,54,402,43,9,240,21,100
412,1628969,Mikal Bridges,74,438,158,1,49,62,44
413,201144,Mike Conley,64,249,135,1,37,39,18
414,203488,Mike Muscala,43,228,27,2,75,10,55
