,NAME,ORPM,DRPM,RPM,WINS,PLAYER_ID
39,Jake Layman,-1.08,-2.56,-3.64,0.14,1627774
19,Malcolm Brogdon,2.09,-0.29,1.80,4.88,1627763
17,DeAndre' Bembry,-2.56,-0.25,-2.82,1.25,1627761
24,Jaylen Brown,2.05,2.81,4.86,12.37,1627759
30,Denzel Valentine,-2.57,-3.27,-5.84,-0.25,1627756
3,Taurean Prince,0.82,-2.92,-2.10,2.07,1627752
21,Jakob Poeltl,-0.46,2.17,1.71,7.73,1627751
27,Dejounte Murray,2.20,2.58,4.78,14.91,1627749
1,Caris LeVert,0.70,0.06,0.76,5.38,1627747
25,Damian Jones,0.07,-3.10,-3.03,0.99,1627745
8,Brandon Ingram,1.44,0.71,2.16,7.65,1627742
39,Buddy Hield,1.52,-2.85,-1.33,5.57,1627741
15,Marquese Chriss,-0.96,-1.83,-2.79,0.42,1627737
8,Malik Beasley,1.48,-3.64,-2.15,3.45,1627736
20,Domantas Sabonis,0.87,4.13,4.99,13.30,1627734
36,Cedi Osman,2.11,-4.05,-1.94,2.79,1626224
32,Royce O'Neale,-1.65,4.18,2.53,10.38,1626220
3,Keifer Sykes,-2.54,-3.98,-6.52,-0.76,1626208
31,Larry Nance Jr.,-0.46,-1.97,-2.43,1.47,1626204
38,Josh Richardson,-0.57,-3.88,-4.45,0.04,1626196
24,Willy Hernangomez,0.81,-3.20,-2.39,1.35,1626195
20,Pat Connaughton,1.80,-3.44,-1.64,3.70,1626192
17,Norman Powell,0.41,-1.30,-0.88,3.52,1626181
28,Terry Rozier,1.81,2.77,4.58,13.72,1626179
13,Christian Wood,1.03,2.50,3.53,11.67,1626174
19,Kevon Looney,-3.51,6.76,3.26,7.75,1626172
34,Bobby Portis,0.26,2.26,2.52,9.38,1626171
14,Stanley Johnson,-1.24,-1.54,-2.78,1.07,1626169
29,Trey Lyles,1.08,-2.83,-1.75,2.95,1626168
2,Myles Turner,0.34,3.46,3.80,6.57,1626167
22,Cameron Payne,1.14,-2.81,-1.68,2.65,1626166
15,Devin Booker,3.06,2.16,5.22,14.21,1626164
23,Kelly Oubre Jr.,3.09,-3.15,-0.06,6.21,1626162
1,Justise Winslow,-1.19,-0.84,-2.03,1.45,1626159
23,Richaun Holmes,-1.32,-0.35,-1.68,2.13,1626158
16,Karl-Anthony Towns,3.26,1.96,5.22,15.35,1626157
21,D'Angelo Russell,3.02,1.95,4.96,12.13,1626156
2,Delon Wright,-1.65,-0.98,-2.63,1.85,1626153
8,Montrezl Harrell,1.93,-2.63,-0.70,4.62,1626149
12,Tyus Jones,0.75,-0.38,0.37,5.12,1626145
9,T.J. McConnell,-0.67,-3.06,-3.73,0.33,204456
37,Joe Ingles,1.30,-2.61,-1.32,2.84,204060
18,Kristaps Porzingis,2.57,2.63,5.19,8.24,204001
0,Nikola Jokic,5.26,6.46,11.71,23.63,203999
7,Jusuf Nurkic,-0.73,4.41,3.68,8.56,203994
22,Bogdan Bogdanovic,1.76,-0.18,1.58,6.98,203992
23,Clint Capela,-2.29,7.15,4.86,11.02,203991
1,Joel Embiid,4.29,5.77,10.06,18.52,203954
8,Andrew Wiggins,-0.61,4.24,3.63,11.39,203952
20,Julius Randle,0.01,1.74,1.74,10.45,203944
35,Dwight Powell,-0.96,3.45,2.49,7.24,203939
30,Kyle Anderson,-1.00,-2.09,-3.09,1.54,203937
27,Marcus Smart,-0.71,3.51,2.80,9.92,203935
9,Aaron Gordon,-1.21,4.81,3.60,11.05,203932
17,Doug McDermott,-0.48,-1.11,-1.59,2.41,203926
12,Jerami Grant,-0.24,2.22,1.99,6.20,203924
15,Khem Birch,-3.00,-0.41,-3.41,0.63,203920
21,Rodney Hood,-2.43,-3.20,-5.63,-0.65,203918
0,Spencer Dinwiddie,0.56,1.85,2.41,8.47,203915
7,Gary Harris,-1.29,-0.84,-2.13,2.99,203914
24,Jordan Clarkson,3.46,-4.50,-1.04,5.64,203903
39,Elfrid Payton,-3.16,-2.88,-6.04,-0.64,203901
25,Zach LaVine,2.70,0.26,2.95,10.95,203897
33,Thanasis Antetokounmpo,-1.97,-3.05,-5.02,-0.16,203648
21,Rodney McGruder,-0.68,-2.79,-3.47,0.52,203585
23,Seth Curry,-0.54,2.08,1.54,7.85,203552
17,Raul Neto,-0.54,-2.91,-3.45,1.07,203526
4,Giannis Antetokounmpo,6.62,1.54,8.16,18.27,203507
22,Trey Burke,0.17,-4.02,-3.85,0.21,203504
12,Tony Snell,-2.02,-3.46,-5.48,-0.65,203503
15,Tim Hardaway Jr.,1.16,-2.01,-0.85,3.51,203501
37,Steven Adams,-1.64,4.08,2.44,8.77,203500
5,Rudy Gobert,-0.02,7.16,7.14,14.41,203497
38,Robert Covington,-2.75,3.57,0.82,6.65,203496
11,Reggie Bullock,-0.58,-0.87,-1.45,3.80,203493
39,Otto Porter Jr.,0.43,0.36,0.79,5.14,203490
17,Mike Muscala,2.46,-2.29,0.16,2.37,203488
26,Mason Plumlee,-2.28,5.09,2.81,7.52,203486
33,Kentavious Caldwell-Pope,-2.73,3.78,1.06,7.69,203484
39,Kelly Olynyk,1.38,-3.34,-1.96,1.31,203482
12,Gorgui Dieng,0.92,-1.71,-0.78,1.11,203476
38,Dewayne Dedmon,-1.53,-1.03,-2.56,1.45,203473
4,Dennis Schroder,-0.33,-1.78,-2.10,3.20,203471
37,Cody Zeller,-0.10,-3.08,-3.18,0.42,203469
21,CJ McCollum,2.15,0.97,3.12,9.76,203468
1,Ben McLemore,1.78,-4.98,-3.20,1.24,203463
14,Alex Len,-1.38,-2.41,-3.79,0.33,203458
7,Nerlens Noel,-4.06,-0.06,-4.12,0.14,203457
35,JaMychal Green,0.02,-1.31,-1.29,2.47,203210
11,Justin Holiday,-1.39,1.79,0.40,6.23,203200
37,Kent Bazemore,-4.63,-1.37,-6.00,-0.57,203145
6,Will Barton,-1.31,5.00,3.69,10.66,203115
36,Khris Middleton,2.51,-0.05,2.47,9.69,203114
21,Draymond Green,-1.20,1.16,-0.04,3.43,203110
31,Jae Crowder,-2.17,6.69,4.51,9.97,203109
31,Tomas Satoransky,-2.45,-3.40,-5.85,-0.81,203107
31,Evan Fournier,-0.57,3.14,2.58,9.99,203095
4,Maurice Harkless,-1.94,-0.69,-2.63,1.16,203090
5,Jeremy Lamb,0.30,-2.94,-2.64,1.24,203087
30,Austin Rivers,-1.11,-2.49,-3.60,0.87,203085
26,Harrison Barnes,-0.35,1.75,1.40,9.72,203084
9,Andre Drummond,-1.06,1.55,0.49,4.47,203083
27,Terrence Ross,0.11,-5.87,-5.76,-1.52,203082
10,Damian Lillard,4.75,-2.63,2.12,4.85,203081
14,Bradley Beal,1.86,-1.52,0.34,4.76,203078
22,Anthony Davis,1.01,2.11,3.12,6.87,203076
