,PLAYER_ID,PLAYER_NAME,GP,NBA_FANTASY_PTS,AVG_FANTASY_PTS,USG_PCT,HUSTLE_POINTS,RPM,WINS,PER,CAREER_TOTAL_FANTASY_PTS,cum_id,ID_MATCH
82,1630180,Saddiq Bey,75,2211.0,29.48,0.206,1436.72,3.18,12.83,14.10,3580.1,1630180,True
83,1630178,Tyrese Maxey,67,2025.7,30.23,0.199,1161.13,3.51,12.19,16.20,2777.5,1630178,True
84,1630177,Theo Maledon,47,598.9,12.74,0.192,476.34,-3.82,0.39,9.53,1806.6,1630177,True
85,1630175,Cole Anthony,62,2009.8,32.42,0.245,1187.92,0.89,7.22,13.89,3097.0,1630175,True
86,1630174,Aaron Nesmith,48,347.0,7.23,0.16,379.48,-2.82,0.67,6.34,753.9,1630174,True
87,1630173,Precious Achiuwa,66,1381.7,20.93,0.178,1347.25,-3.25,1.39,12.93,1960.8,1630173,True
88,1630171,Isaac Okoro,60,1089.9,18.17,0.128,1083.29,-0.21,4.93,10.47,2191.1,1630171,True
89,1630170,Devin Vassell,65,1555.2,23.93,0.182,1322.45,-1.53,4.04,13.14,2182.0,1630170,True
90,1630169,Tyrese Haliburton,71,2578.1,36.31,0.183,1736.43,2.03,11.09,17.61,3953.2,1630169,True
91,1630168,Onyeka Okongwu,41,882.1,21.51,0.141,769.72,-1.66,1.81,20.15,1335.7,1630168,True
92,1630167,Obi Toppin,66,976.2,14.79,0.198,637.62,-0.78,2.98,17.13,1432.3,1630167,True
93,1630166,Deni Avdija,74,1461.5,19.75,0.153,1129.05,-2.83,2.32,11.67,2179.4,1630166,True
94,1630165,Killian Hayes,59,1147.5,19.45,0.149,1289.33,-3.63,0.84,8.50,1511.3,1630165,True
95,1630163,LaMelo Ball,69,2908.2,42.15,0.27,1921.35,4.31,13.04,19.79,4458.1,1630163,True
96,1630162,Anthony Edwards,66,2376.2,36.0,0.261,1915.3,3.17,12.08,16.08,4420.9,1630162,True
97,1629833,Keljin Blevins,23,113.6,4.94,0.152,87.48,-6.68,-0.37,5.30,137.6,1629833,True
98,1629750,Javonte Green,58,1032.8,17.81,0.113,1328.34,-0.35,3.94,13.91,1607.1,1629750,True
99,1629744,Matt Thomas,40,276.0,6.9,0.137,217.74,-4.03,0.18,9.93,793.5,1629744,True
100,1629731,Dean Wade,51,619.0,12.14,0.107,658.38,-0.10,2.97,10.23,1464.8,1629731,True
101,1629726,Garrison Mathews,59,1056.0,17.9,0.138,1009.66,-1.00,4.11,11.35,1697.2,1629726,True
102,1629723,John Konchar,66,971.0,14.71,0.095,1095.89,-1.44,2.73,13.57,1532.5,1629723,True
103,1629718,Charlie Brown Jr.,21,114.4,5.45,0.105,131.67,-7.14,-0.33,6.55,213.1,1629718,True
104,1629717,Armoni Brooks,50,573.5,11.47,0.162,468.04,-1.39,2.11,8.88,897.1,1629717,True
105,1629685,Dylan Windler,45,281.3,6.25,0.116,335.02,-3.82,0.22,9.27,634.2,1629685,True
106,1629684,Grant Williams,71,1169.0,16.46,0.123,1142.76,-3.14,1.74,11.73,2378.2,1629684,True
107,1629681,Killian Tillie,36,324.0,9.0,0.128,362.36,-4.19,0.11,7.73,407.8,1629681,True
108,1629680,Matisse Thybulle,59,1063.4,18.02,0.098,1497.16,1.07,5.60,11.19,2497.6,1629680,True
109,1629678,Admiral Schofield,34,247.7,7.29,0.14,182.03,-4.32,0.05,7.62,433.6,1629678,True
110,1629676,Isaiah Roby,37,713.5,19.28,0.174,805.12,-0.67,1.83,17.57,1830.6,1629676,True
111,1629675,Naz Reid,71,1258.8,17.73,0.208,1037.75,-1.48,2.71,17.94,3116.5,1629675,True
112,1629673,Jordan Poole,70,1986.7,28.38,0.246,1118.93,1.85,9.42,15.83,3661.2,1629673,True
113,1629672,Eric Paschall,54,513.4,9.51,0.172,450.34,-2.66,1.05,13.85,2459.0,1629672,True
114,1629670,Jordan Nwora,58,828.3,14.28,0.182,638.97,-4.20,0.25,9.78,1067.8,1629670,True
115,1629669,Jaylen Nowell,57,858.5,15.06,0.202,414.73,-2.20,1.71,17.11,1559.6,1629669,True
116,1629667,Jalen McDaniels,49,625.8,12.77,0.15,509.38,-3.89,0.39,11.43,1461.6,1629667,True
117,1629661,Cameron Johnson,60,1354.7,22.58,0.165,998.89,-0.23,5.30,16.27,3209.4,1629661,True
118,1629660,Ty Jerome,48,665.1,13.86,0.205,477.95,-0.91,2.22,11.46,1518.5,1629660,True
119,1629659,Talen Horton-Tucker,53,1057.4,19.95,0.181,903.82,-4.32,0.18,10.05,2169.1,1629659,True
120,1629656,Quentin Grimes,45,542.0,12.04,0.149,642.21,-2.22,1.28,11.04,500.0,1629656,True
121,1629655,Daniel Gafford,64,1401.7,21.9,0.158,1310.74,0.64,4.36,21.47,2635.1,1629655,True
